,record_id,title,year,popularity,homepage,type,action,comedy,fantasy,horror,non-fiction,romance
0,0,The Chronicles of Narnia: Prince Caspian,2008,6.3,https://www.google.com/,M,1,0,1,0,0,0
1,1,King Kong,2005,6.6,https://www.google.com/,M,1,0,1,0,0,0
2,2,Titanic,1997,7.5,http://www.titanicmovie.com,M,1,0,1,0,0,1
3,3,Spider-Man 2,2004,6.7,http://www.sonypictures.com/movies/spider-man2/,M,1,0,1,0,0,0
4,4,Iron Man 3,2013,6.8,http://marvel.com/ironman3,M,1,0,1,0,0,0
5,5,Oz: The Great and Powerful,2013,5.7,http://www.ozthegreatandpowerfulmovie.com,M,1,0,1,0,0,0
6,6,TRON: Legacy,2010,6.3,http://disney.go.com/tron/,M,1,0,1,0,0,0
7,7,Furious 7,2015,7.3,http://www.furious7.com/,M,1,0,0,0,0,0
8,8,Jack the Giant Slayer,2013,5.5,http://jackthegiantkiller.warnerbros.com,M,1,0,1,0,0,0
9,9,The Good Dinosaur,2015,6.6,http://movies.disney.com/the-good-dinosaur,M,1,1,0,0,0,0
10,10,WALLÃƒÆ’Ã†â€™Ãƒâ€ Ã¢â‚¬â„¢ÃƒÆ’Ã¢â‚¬Â ÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢ÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â¢ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡Ãƒâ€šÃ‚Â¬ÃƒÆ’Ã¢â‚¬Â¦Ãƒâ€šÃ‚Â¡ÃƒÆ’Ã†â€™Ãƒâ€ Ã¢â‚¬â„¢ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬Ãƒâ€¦Ã‚Â¡ÃƒÆ’Ã†â€™ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â·E,2008,7.8,http://disney.go.com/disneypictures/wall-e/,M,0,1,0,0,0,0
11,11,Rush Hour 3,2007,6.1,https://www.google.com/,M,1,1,0,1,0,0
12,12,A Christmas Carol,2009,6.6,http://disney.go.com/disneypictures/achristmascarol/?cmp=dcom_VAN_WDSHE_ACC_van_dcomcc__Extl,M,0,1,1,0,0,0
13,13,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,6.7,https://www.google.com/,M,1,0,1,0,0,0
14,14,Monsters vs Aliens,2009,6,http://www.monstersvsaliens.com/,M,1,1,1,0,0,0
15,15,Wild Wild West,1999,5.1,https://www.google.com/,M,1,1,1,0,0,0
16,16,Evan Almighty,2007,5.3,http://www.evanalmighty.com/,M,0,1,1,0,0,0
17,17,Waterworld,1995,5.9,https://www.google.com/,M,1,0,0,0,0,0
18,18,The Lovers,2015,4.8,https://www.google.com/,M,1,0,1,0,0,1
19,19,47 Ronin,2013,5.9,https://www.google.com/,M,1,0,1,0,0,0
20,20,Shrek Forever After,2010,6,http://www.shrekforeverafter.com/,M,1,1,1,0,0,0
21,21,The Polar Express,2004,6.4,https://www.google.com/,M,1,1,1,0,0,0
22,22,Terminator 3: Rise of the Machines,2003,5.9,https://www.google.com/,M,1,0,1,0,0,0
23,23,Shin Godzilla,2016,6.5,https://www.google.com/,M,1,0,1,1,0,0
24,24,The Fast and the Furious,2001,6.6,https://www.google.com/,M,1,0,0,1,0,0
25,25,X-Men: First Class,2011,7.1,http://www.x-menfirstclassmovie.com/,M,1,0,1,0,0,0
26,26,The Sorcerer's Apprentice,2010,5.8,http://disney.go.com/disneypictures/sorcerersapprentice/,M,1,1,1,0,0,0
27,27,Poseidon,2006,5.5,http://www2.warnerbros.com/poseidon/,M,1,0,1,0,0,0
28,28,Shrek the Third,2007,6,http://www.shrekthethird.com/flash/index.html,M,1,1,1,0,0,0
29,29,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,6.2,https://www.google.com/,M,1,0,1,0,0,0
30,30,Pearl Harbor,2001,6.6,https://www.google.com/,M,0,0,0,0,1,1
31,31,Alexander,2004,5.6,https://www.google.com/,M,1,0,1,0,1,1
32,32,Harry Potter and the Goblet of Fire,2005,7.5,http://harrypotter.warnerbros.com/,M,1,0,1,0,0,0
33,33,Charlie and the Chocolate Factory,2005,6.7,https://www.warnerbros.com/charlie-and-chocolate-factory,M,1,1,1,0,0,0
34,34,Batman Begins,2005,7.5,http://www2.warnerbros.com/batmanbegins/index.html,M,1,0,1,1,0,0
35,35,Madagascar: Escape 2 Africa,2008,6.2,http://www.madagascar-themovie.com,M,0,1,0,0,0,0
36,36,Night at the Museum: Battle of the Smithsonian,2009,5.9,http://www.nightatthemuseummovie.com,M,1,1,1,0,0,0
37,37,The Matrix Revolutions,2003,6.4,https://www.google.com/,M,1,0,1,0,0,0
38,38,The Matrix Reloaded,2003,6.7,https://www.google.com/,M,1,0,1,0,0,0
39,39,Angels & Demons,2009,6.5,http://www.angelsanddemons.com/,M,1,0,0,1,0,0
40,40,Bolt,2008,6.3,http://movies.disney.com/bolt,M,1,1,0,0,0,0
41,41,G-Force,2009,5.1,http://disney.go.com/disneypictures/gforce/,M,1,1,1,0,0,0
42,42,The Wolfman,2010,5.5,http://www.thewolfmanmovie.com/,M,1,0,1,1,0,0
43,43,Bee Movie,2007,5.7,http://www.beemovie.com/,M,1,1,0,0,0,0
44,44,Kung Fu Panda 2,2011,6.7,http://www.kungfupanda.com/,M,0,1,0,0,0,0
45,45,Mars Needs Moms,2011,5.5,http://disney.go.com/disneypictures/marsneedsmoms/#home,M,1,1,0,0,0,0
46,46,Flushed Away,2006,6,http://www.dreamworksanimation.com/flushed/,M,1,1,0,0,0,0
47,47,Mr. Peabody & Sherman,2014,6.7,https://www.google.com/,M,1,1,0,0,0,0
48,48,Troy,2004,6.9,https://www.google.com/,M,1,0,1,0,1,0
49,49,Madagascar 3: Europe's Most Wanted,2012,6.4,https://www.google.com/,M,0,1,0,0,0,0
50,50,Die Another Day,2002,5.8,http://www.mgm.com/view/movie/232/Die-Another-Day/,M,1,0,0,0,0,0
51,51,Armageddon,1998,6.4,https://www.google.com/,M,1,0,1,0,0,0
52,52,Men in Black II,2002,6,http://www.sonypictures.com/homevideo/meninblackii/,M,1,1,1,0,0,0
