title,year
Conquest of the Planet of the Apes,1972
In the Bedroom,2001
"Happy, Texas",1999
My Summer of Love,2004
The Lunchbox,2013
Yes,2005
You Can't Take It With You,2038
From Here to Eternity,2053
She Wore a Yellow Ribbon,2049
Foolish,1999
Out of the Dark,2014
The Bubble,2006
The Conversation,1974
Dil Jo Bhi Kahey...,2006
Mississippi Mermaid,1969
I Love Your Work,2003
Cabin Fever,2016
Waitress,2007
Bloodsport,1988
Mr. Smith Goes to Washington,2039
Kids,1995
The Squid and the Whale,2005
Kissing Jessica Stein,2001
Spellbound,2045
Exotica,1994
Buffalo '66,1998
Repo Man,1984
Nine Queens,2000
The Gatekeepers,2012
The Ballad of Jack and Rose,2005
Killing Zoe,1993
The Believer,2001
Snow Angels,2008
Unsullied,2015
Session 9,2001
I Want Someone to Eat Cheese With,2006
Modern Times,2036
Stolen Summer,2002
The Salon,2005
Forty Shades of Blue,2005
Pontypool,2009
Me You and Five Bucks,2015
Fetching Cody,2005
Last I Heard,2013
Closer to the Moon,2013
Mutant World,2014
Checkmate,2015
Wind Walkers,2016
The Holy Girl,2004
Shalako,1968
Incident at Loch Ness,2004
GirlHouse,2014
The Blue Room,2014
Batman,2066
The Ballad of Gregorio Cortez,1983
Trees Lounge,1996
The Basket,2000
Eddie: The Sleepwalking Cannibal,2012
Queen of the Mountains,2014
Def-Con 4,1985
The Hebrew Hammer,2003
Neal 'n' Nikki,2005
