record-number,title,year,popularity,comedy,fantasy,romance,horror,action,non-fiction,type
1,Guardians of the Galaxy,2014,8.1,0,1,0,0,1,0,M
2,Prometheus,2012,7,0,1,0,1,1,0,M
3,Split,2016,7.3,0,0,0,1,1,0,M
4,Sing,2016,7.2,1,0,0,0,0,0,M
5,Suicide Squad,2016,6.2,0,1,0,0,1,0,M
6,The Great Wall,2016,6.1,0,1,0,0,1,0,M
7,La La Land,2016,8.3,1,1,0,0,0,1,M
8,Mindhorn,2016,6.4,1,0,0,0,0,0,M
9,The Lost City of Z,2016,7.1,0,0,0,0,1,1,M
10,Passengers,2016,7,0,1,1,0,1,0,M
11,Fantastic Beasts and Where to Find Them,2016,7.5,0,1,0,0,1,0,M
12,Hidden Figures,2016,7.8,0,1,0,0,0,1,M
13,Rogue One,2016,7.9,0,1,0,0,1,0,M
14,Moana,2016,7.7,1,0,0,0,1,0,M
15,Colossal,2016,6.4,1,1,0,0,1,0,M
16,The Secret Life of Pets,2016,6.6,1,0,0,0,1,0,M
17,Hacksaw Ridge,2016,8.2,0,1,0,0,0,1,M
18,Jason Bourne,2016,6.7,0,0,0,0,1,0,M
19,Lion,2016,8.1,0,1,0,0,0,1,M
20,Arrival,2016,8,0,1,0,1,0,0,M
21,Gold,2016,6.7,0,1,0,0,1,0,M
22,Manchester by the Sea,2016,7.9,0,1,0,0,0,0,M
23,Hounds of Love,2016,6.7,0,1,0,1,0,0,M
24,Trolls,2016,6.5,1,0,0,0,1,0,M
25,Independence Day: Resurgence,2016,5.3,0,1,0,0,1,0,M
26,Paris pieds nus,2016,6.8,1,0,0,0,0,0,M
27,Bahubali: The Beginning,2015,8.3,0,1,0,0,1,0,M
28,Dead Awake,2016,4.7,0,0,0,1,1,0,M
29,Bad Moms,2016,6.2,1,0,0,0,0,0,M
30,Assassin's Creed,2016,5.9,0,1,0,0,1,0,M
31,Why Him?,2016,6.3,1,0,0,0,0,0,M
32,Nocturnal Animals,2016,7.5,0,1,0,0,1,0,M
33,X-Men: Apocalypse,2016,7.1,0,1,0,0,1,0,M
34,Deadpool,2016,8,1,0,0,0,1,0,M
35,Resident Evil: The Final Chapter,2016,5.6,0,1,0,1,1,0,M
36,Captain America: Civil War,2016,7.9,0,1,0,0,1,0,M
37,Interstellar,2014,8.6,0,1,0,0,1,0,M
38,Doctor Strange,2016,7.6,0,1,0,0,1,0,M
39,The Magnificent Seven,2016,6.9,0,0,0,0,1,0,M
40,5/25/77,2007,7.1,1,1,0,0,0,0,M
41,Sausage Party,2016,6.3,1,0,0,0,1,0,M
42,Moonlight,2016,7.5,0,1,0,0,0,0,M
43,Don't Fuck in the Woods,2016,2.7,0,0,0,1,0,0,M
44,The Founder,2016,7.2,0,1,0,0,0,1,M
45,Lowriders,2016,6.3,0,1,0,0,0,0,M
46,Pirates of the Caribbean: On Stranger Tides,2011,6.7,0,1,0,0,1,0,M
47,Miss Sloane,2016,7.3,0,1,0,0,1,0,M
48,Fallen,2016,5.6,0,1,0,0,1,0,M
49,Star Trek Beyond,2016,7.1,0,1,0,0,1,0,M
50,The Last Face,2016,3.7,0,1,0,0,0,0,M
51,Star Wars: Episode VII - The Force Awakens,2015,8.1,0,1,0,0,1,0,M
52,Underworld: Blood Wars,2016,5.8,0,1,0,0,1,0,M
53,Mother's Day,2016,5.6,1,1,0,0,0,0,M
54,John Wick,2014,7.2,0,0,0,1,1,0,M
55,The Dark Knight,2008,9,0,1,0,1,1,0,M
56,Silence,2016,7.3,0,1,0,0,1,1,M
57,Don't Breathe,2016,7.2,0,0,0,1,1,0,M
58,Me Before You,2016,7.4,0,1,1,0,0,0,M
59,Their Finest,2016,7,1,1,1,0,0,0,M
60,Sully,2016,7.5,0,1,0,0,0,1,M
61,Batman v Superman: Dawn of Justice,2016,6.7,0,1,0,0,1,0,M
62,The Autopsy of Jane Doe,2016,6.8,0,0,0,1,1,0,M
63,The Girl on the Train,2016,6.5,0,1,0,1,0,0,M
64,Fifty Shades of Grey,2015,4.1,0,1,1,0,1,0,M
65,The Prestige,2006,8.5,0,1,0,1,0,0,M
66,Kingsman: The Secret Service,2014,7.7,1,0,0,0,1,0,M
67,Patriots Day,2016,7.4,0,1,0,0,1,1,M
68,Mad Max: Fury Road,2015,8.1,0,1,0,0,1,0,M
69,Wakefield,2016,7.5,0,1,0,0,0,0,M
70,Deepwater Horizon,2016,7.2,0,1,0,0,1,0,M
71,The Promise,2016,5.9,0,1,0,0,0,1,M
72,Allied,2016,7.1,0,1,1,0,1,0,M
73,A Monster Calls,2016,7.5,0,1,0,0,0,0,M
74,Collateral Beauty,2016,6.8,0,1,1,0,0,0,M
75,Zootopia,2016,8.1,1,0,0,0,1,0,M
76,Pirates of the Caribbean: At World's End,2007,7.1,0,1,0,0,1,0,M
77,The Avengers,2012,8.1,0,1,0,0,1,0,M
78,Inglourious Basterds,2009,8.3,0,1,0,0,1,1,M
79,Pirates of the Caribbean: Dead Man's Chest,2006,7.3,0,1,0,0,1,0,M
80,Ghostbusters,2016,5.3,1,1,0,0,1,0,M
81,Inception,2010,8.8,0,1,0,0,1,0,M
82,Captain Fantastic,2016,7.9,1,1,0,0,0,0,M
83,The Wolf of Wall Street,2013,8.2,1,0,0,1,0,1,M
84,Gone Girl,2014,8.1,0,1,0,1,0,0,M
85,Furious Seven,2015,7.2,0,0,0,1,1,0,M
86,Jurassic World,2015,7,0,1,0,0,1,0,M
87,Live by Night,2016,6.4,0,1,0,1,0,0,M
88,Avatar,2009,7.8,0,1,0,0,1,0,M
89,The Hateful Eight,2015,7.8,0,1,0,1,0,0,M
90,The Accountant,2016,7.4,0,1,0,1,1,0,M
91,Prisoners,2013,8.1,0,1,0,1,0,0,M
92,Warcraft,2016,7,0,1,0,0,1,0,M
93,The Help,2011,8.1,0,1,0,0,0,0,M
94,War Dogs,2016,7.1,1,1,0,1,0,0,M
95,Avengers: Age of Ultron,2015,7.4,0,1,0,0,1,0,M
96,The Nice Guys,2016,7.4,1,0,0,1,1,0,M
97,Kimi no na wa,2016,8.6,1,1,0,0,0,0,M
98,The Void,2016,5.8,0,1,0,1,0,0,M
99,Personal Shopper,2016,6.3,0,1,0,1,1,0,M
100,The Departed,2006,8.5,0,1,0,1,1,0,M
101,Legend,2015,7,0,1,0,1,0,1,M
102,Thor,2011,7,0,1,0,0,1,0,M
103,The Martian,2015,8,0,1,0,0,1,0,M
104,Contratiempo,2016,7.9,0,0,0,1,1,0,M
105,The Man from U.N.C.L.E.,2015,7.3,1,0,0,0,1,0,M
106,Hell or High Water,2016,7.7,0,1,0,1,1,0,M
107,The Comedian,2016,5.4,1,0,0,0,0,0,M
108,The Legend of Tarzan,2016,6.3,0,1,0,0,1,0,M
109,All We Had,2016,5.8,0,1,0,0,0,0,M
110,Ex Machina,2014,7.7,0,1,0,1,0,0,M
111,The Belko Experiment,2016,6.3,0,0,0,1,1,0,M
112,12 Years a Slave,2013,8.1,0,1,0,0,0,1,M
113,The Bad Batch,2016,6.1,0,1,1,0,0,0,M
114,300,2006,7.7,0,1,0,0,1,1,M
115,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,0,1,0,0,1,0,M
116,Office Christmas Party,2016,5.8,1,0,0,0,0,0,M
117,The Neon Demon,2016,6.2,0,0,0,1,1,0,M
