title,year,popularity,comedy,fantasy,romance,horror,action,non-fiction,type
Guardians of the Galaxy,2014,8.1,0,1,0,0,1,0,M
Prometheus,2012,7,0,1,0,1,1,0,M
Split,2016,7.3,0,0,0,1,1,0,M
Sing,2016,7.2,1,0,0,0,0,0,M
Suicide Squad,2016,6.2,0,1,0,0,1,0,M
The Great Wall,2016,6.1,0,1,0,0,1,0,M
La La Land,2016,8.3,1,1,0,0,0,1,M
Mindhorn,2016,6.4,1,0,0,0,0,0,M
The Lost City of Z,2016,7.1,0,0,0,0,1,1,M
Passengers,2016,7,0,1,1,0,1,0,M
Fantastic Beasts and Where to Find Them,2016,7.5,0,1,0,0,1,0,M
Hidden Figures,2016,7.8,0,1,0,0,0,1,M
Rogue One,2016,7.9,0,1,0,0,1,0,M
Moana,2016,7.7,1,0,0,0,1,0,M
Colossal,2016,6.4,1,1,0,0,1,0,M
The Secret Life of Pets,2016,6.6,1,0,0,0,1,0,M
Hacksaw Ridge,2016,8.2,0,1,0,0,0,1,M
Jason Bourne,2016,6.7,0,0,0,0,1,0,M
Lion,2016,8.1,0,1,0,0,0,1,M
Arrival,2016,8,0,1,0,1,0,0,M
Gold,2016,6.7,0,1,0,0,1,0,M
Manchester by the Sea,2016,7.9,0,1,0,0,0,0,M
Hounds of Love,2016,6.7,0,1,0,1,0,0,M
Trolls,2016,6.5,1,0,0,0,1,0,M
Independence Day: Resurgence,2016,5.3,0,1,0,0,1,0,M
Paris pieds nus,2016,6.8,1,0,0,0,0,0,M
Bahubali: The Beginning,2015,8.3,0,1,0,0,1,0,M
Dead Awake,2016,4.7,0,0,0,1,1,0,M
Bad Moms,2016,6.2,1,0,0,0,0,0,M
Assassin's Creed,2016,5.9,0,1,0,0,1,0,M
Why Him?,2016,6.3,1,0,0,0,0,0,M
Nocturnal Animals,2016,7.5,0,1,0,0,1,0,M
X-Men: Apocalypse,2016,7.1,0,1,0,0,1,0,M
Deadpool,2016,8,1,0,0,0,1,0,M
Resident Evil: The Final Chapter,2016,5.6,0,1,0,1,1,0,M
Captain America: Civil War,2016,7.9,0,1,0,0,1,0,M
Interstellar,2014,8.6,0,1,0,0,1,0,M
Doctor Strange,2016,7.6,0,1,0,0,1,0,M
The Magnificent Seven,2016,6.9,0,0,0,0,1,0,M
5/25/77,2007,7.1,1,1,0,0,0,0,M
Sausage Party,2016,6.3,1,0,0,0,1,0,M
Moonlight,2016,7.5,0,1,0,0,0,0,M
Don't Fuck in the Woods,2016,2.7,0,0,0,1,0,0,M
The Founder,2016,7.2,0,1,0,0,0,1,M
Lowriders,2016,6.3,0,1,0,0,0,0,M
Pirates of the Caribbean: On Stranger Tides,2011,6.7,0,1,0,0,1,0,M
Miss Sloane,2016,7.3,0,1,0,0,1,0,M
Fallen,2016,5.6,0,1,0,0,1,0,M
Star Trek Beyond,2016,7.1,0,1,0,0,1,0,M
The Last Face,2016,3.7,0,1,0,0,0,0,M
Star Wars: Episode VII - The Force Awakens,2015,8.1,0,1,0,0,1,0,M
Underworld: Blood Wars,2016,5.8,0,1,0,0,1,0,M
Mother's Day,2016,5.6,1,1,0,0,0,0,M
John Wick,2014,7.2,0,0,0,1,1,0,M
The Dark Knight,2008,9,0,1,0,1,1,0,M
Silence,2016,7.3,0,1,0,0,1,1,M
Don't Breathe,2016,7.2,0,0,0,1,1,0,M
Me Before You,2016,7.4,0,1,1,0,0,0,M
Their Finest,2016,7,1,1,1,0,0,0,M
Sully,2016,7.5,0,1,0,0,0,1,M
Batman v Superman: Dawn of Justice,2016,6.7,0,1,0,0,1,0,M
The Autopsy of Jane Doe,2016,6.8,0,0,0,1,1,0,M
The Girl on the Train,2016,6.5,0,1,0,1,0,0,M
Fifty Shades of Grey,2015,4.1,0,1,1,0,1,0,M
The Prestige,2006,8.5,0,1,0,1,0,0,M
Kingsman: The Secret Service,2014,7.7,1,0,0,0,1,0,M
Patriots Day,2016,7.4,0,1,0,0,1,1,M
Mad Max: Fury Road,2015,8.1,0,1,0,0,1,0,M
Wakefield,2016,7.5,0,1,0,0,0,0,M
Deepwater Horizon,2016,7.2,0,1,0,0,1,0,M
The Promise,2016,5.9,0,1,0,0,0,1,M
Allied,2016,7.1,0,1,1,0,1,0,M
A Monster Calls,2016,7.5,0,1,0,0,0,0,M
Collateral Beauty,2016,6.8,0,1,1,0,0,0,M
Zootopia,2016,8.1,1,0,0,0,1,0,M
Pirates of the Caribbean: At World's End,2007,7.1,0,1,0,0,1,0,M
The Avengers,2012,8.1,0,1,0,0,1,0,M
Inglourious Basterds,2009,8.3,0,1,0,0,1,1,M
Pirates of the Caribbean: Dead Man's Chest,2006,7.3,0,1,0,0,1,0,M
Ghostbusters,2016,5.3,1,1,0,0,1,0,M
Inception,2010,8.8,0,1,0,0,1,0,M
Captain Fantastic,2016,7.9,1,1,0,0,0,0,M
The Wolf of Wall Street,2013,8.2,1,0,0,1,0,1,M
Gone Girl,2014,8.1,0,1,0,1,0,0,M
Furious Seven,2015,7.2,0,0,0,1,1,0,M
Jurassic World,2015,7,0,1,0,0,1,0,M
Live by Night,2016,6.4,0,1,0,1,0,0,M
Avatar,2009,7.8,0,1,0,0,1,0,M
The Hateful Eight,2015,7.8,0,1,0,1,0,0,M
The Accountant,2016,7.4,0,1,0,1,1,0,M
Prisoners,2013,8.1,0,1,0,1,0,0,M
Warcraft,2016,7,0,1,0,0,1,0,M
The Help,2011,8.1,0,1,0,0,0,0,M
War Dogs,2016,7.1,1,1,0,1,0,0,M
Avengers: Age of Ultron,2015,7.4,0,1,0,0,1,0,M
The Nice Guys,2016,7.4,1,0,0,1,1,0,M
Kimi no na wa,2016,8.6,1,1,0,0,0,0,M
The Void,2016,5.8,0,1,0,1,0,0,M
