"title","year","homepage","popularity","romance","horror","action","comedy","fantasy","non-fiction","type"
"Lone Wolf McQuade","1983","","5.5","1","1","1","0","1","0","M"
"Space Jam","1996","http://www.warnerbros.com/archive/spacejam/movie/jam.htm","6.5","0","0","0","1","1","0","M"
"Beverly Hills Cop III","1994","","5.5","0","1","1","1","0","0","M"
"Gattaca","1997","","7.5","1","1","1","0","1","0","M"
"Batman: The Dark Knight Returns, Part 2","2013","","7.9","0","0","1","1","0","0","M"
"House of Sand and Fog","2003","","7","0","0","0","0","1","0","M"
"Jerry Maguire","1996","","6.7","1","0","0","1","1","0","M"
"Nick and Norah's Infinite Playlist","2008","","6.4","1","0","0","1","0","1","M"
"As It Is in Heaven","2004","http://www.wie-im-himmel-derfilm.de/start.html","6.9","1","0","0","1","1","1","M"
"Vessel","2012","","5.9","0","1","0","0","1","0","M"
"Marci X","2003","","3.3","0","0","0","1","0","0","M"
"The Wood","1999","","7.1","1","0","0","1","1","0","M"
"Straightheads","2007","","5.2","0","0","1","0","0","0","M"
"Kiss the Girls","1997","","6.2","0","1","1","0","1","0","M"
"Legal Eagles","1986","","5.8","1","1","1","1","1","0","M"
"The Others","2001","","7.4","0","1","1","0","1","0","M"
"Gossip","2000","","5.5","0","1","1","0","1","0","M"
"The Chambermaid on the Titanic","1997","","5.3","0","0","0","0","1","0","M"
"Snow White: A Deadly Summer","2012","","4.8","0","1","1","0","0","0","M"
"The Last Emperor","1987","","7.4","0","0","0","0","1","1","M"
"Black Knight","2001","","5.1","0","0","1","1","1","0","M"
"Chain Letter","2010","","3.9","0","1","1","0","0","0","M"
"Men of Honor","2000","","7","0","0","0","0","1","0","M"
"Solitary Man","2009","http://www.solitarymanmovie.com/","5.8","1","0","0","1","1","0","M"
"Anderson's Cross","2010","","0","1","0","0","1","1","0","M"
"10 Days in a Madhouse","2015","","4.3","0","0","0","0","1","0","M"
"Scoop","2006","http://www.scoopmovie.net/","6.4","0","1","0","1","0","0","M"
"Haywire","2011","http://www.haywiremovie.com/","5.6","0","0","1","0","0","0","M"
"Call + Response","2008","","8","0","0","0","0","0","1","M"
"Hell's Angels","2030","","6.1","0","0","1","0","1","1","M"
"The First Wives Club","1996","","6.5","0","0","0","1","0","0","M"
"Salvador","1986","","7","0","0","0","0","1","0","M"
"Spy Kids 2: The Island of Lost Dreams","2002","","5.3","0","0","1","0","0","0","M"
"One Night with the King","2006","http://8x.com/onenight/main.html","6.1","0","0","0","0","1","0","M"
"The Conversation","1974","","7.5","0","1","0","0","1","0","M"
"That's My Boy","2012","http://www.sonypictures.com/movies/thatsmyboy/","5.5","0","0","0","1","0","0","M"
"Young Adult","2011","http://www.youngadultmovie.com/","5.6","0","0","0","1","1","0","M"
"The Rundown","2003","http://www.therundown.com/","6.4","0","0","1","1","0","0","M"
"The Man with the Iron Fists","2012","","5.2","0","0","1","0","0","0","M"
"Return to the Blue Lagoon","1991","","5.1","1","0","1","0","1","0","M"
"The Descent","2005","","6.8","0","1","1","0","0","0","M"
"Catch That Kid","2004","","4.9","0","0","1","0","0","0","M"
"Highlander: The Final Dimension","1994","","4.5","0","0","1","0","1","0","M"
"Funny People","2009","http://www.funnypeoplemovie.com","5.7","0","0","0","1","1","0","M"
"The Green Hornet","2011","http://www.sonypictures.com/movies/thegreenhornet/","5.5","0","1","1","1","0","0","M"
"Swimming Pool","2003","http://www.marsdistribution.com/xml/flash.html?cfilm=46022","6.4","0","1","1","0","0","0","M"
"The Phantom of the Opera","2004","","7","1","0","1","0","1","0","M"
"Won't Back Down","2012","","5.8","0","0","0","0","1","0","M"
"Bathory: Countess of Blood","2008","","5.6","0","0","0","0","1","0","M"
"Singin' in the Rain","2052","","7.8","1","0","0","1","0","1","M"
"Back to the Future Part II","1989","http://www.backtothefuture.com/movies/backtothefuture2","7.4","0","0","1","1","1","0","M"
"Spaced Invaders","1990","","4.7","0","0","0","1","1","0","M"
"Ballistic: Ecks vs. Sever","2002","","4.3","0","0","1","0","0","0","M"
"Impact Point","2008","","5.7","1","0","1","0","0","0","M"
"Legend of the Guardians: The Owls of Ga'Hoole","2010","http://legendoftheguardians.warnerbros.com/","6.5","0","0","1","1","1","0","M"
"Mad Hot Ballroom","2005","","7.2","0","0","0","0","0","1","M"
"Black Book","2006","","7.2","0","0","1","0","1","1","M"
"Mulan","1998","","7.6","0","0","1","1","0","0","M"
"The Box","2009","http://thebox-movie.warnerbros.com/","5.4","0","0","1","0","1","0","M"
"The Invasion","2007","","5.7","0","0","1","0","1","0","M"
"Lake of Fire","2006","","8","0","0","0","0","0","1","M"
"In the Shadow of the Moon","2007","","7.6","0","0","0","0","0","1","M"
"Rio 2","2014","http://www.riomovies.com/","6.3","0","0","1","1","0","0","M"
"Blue Crush","2002","","5.6","0","0","1","0","0","0","M"
"Die Hard","1988","","7.5","0","0","1","0","0","0","M"
"Alpha and Omega: The Legend of the Saw Tooth Cave","2014","","6.5","0","0","1","1","0","0","M"
"Training Day","2001","","7.3","0","1","1","0","1","0","M"
"Extreme Movie","2008","","3.9","0","0","0","1","0","0","M"
"Zulu","2013","","6.7","0","1","1","0","1","0","M"
"My Favorite Martian","1999","","5.1","0","0","0","1","1","0","M"
"Into the Grizzly Maze","2015","","5.1","0","1","1","0","0","0","M"
"The One","2001","","5.7","0","0","1","0","1","0","M"
"Flywheel","2003","","6.8","0","0","0","0","1","0","M"
"20 Feet from Stardom","2013","","7.4","0","0","0","0","0","1","M"
"The Ruins","2008","","5.6","0","1","0","0","1","0","M"
"Northfork","2003","","6.7","0","0","0","0","1","0","M"
"Warriors of Virtue","1997","","4.7","0","0","1","0","1","0","M"
"Coriolanus","2011","","5.9","0","0","1","0","1","0","M"
"Stranger Than Fiction","2006","http://www.sonypictures.com/homevideo/strangerthanfiction/","7.1","1","0","0","1","1","0","M"
"Galaxy Quest","1999","","6.9","0","0","0","1","1","0","M"
"Heaven is for Real","2014","http://www.sonypictures.com/movies/heavenisforreal/","6","0","0","0","0","1","0","M"
"The Molly Maguires","1970","","5.9","0","0","0","0","1","1","M"
"Elizabeth: The Golden Age","2007","","6.6","1","0","0","0","1","1","M"
"Redacted","2007","","6.2","0","0","0","0","1","1","M"
"Kiss of Death","1995","","5.7","0","1","1","0","1","0","M"
"The Bad News Bears","1976","","6.9","0","0","0","1","0","0","M"
"The Last House on the Left","2009","http://www.thelasthouseontheleft.com/","6.2","0","1","1","0","1","0","M"
"Aliens","1986","","7.7","0","1","1","0","1","0","M"
"The Fugitive","1993","","7.2","0","1","1","0","0","0","M"
"Green Street Hooligans: Underground","2013","","5.4","0","0","1","0","1","0","M"
"Open Secret","2048","","7","0","1","1","0","0","0","M"
"Isn't She Great","2000","","4.6","0","0","0","1","1","0","M"
"Kites","2010","http://www.kites-thefilm.com/","6","1","0","1","0","1","0","M"
"Machete","2010","http://www.vivamachete.com/","6.3","0","0","1","1","0","0","M"
"11:14","2003","","6.8","0","1","1","0","1","0","M"
"Apollo 18","2011","http://apollo18movie.net/","5","0","1","1","0","1","0","M"
"The Blues Brothers","1980","","7.5","0","1","1","1","0","1","M"
"The Valley of Decision","2045","","5.8","0","0","0","0","1","0","M"
"You Again","2010","","6","1","0","0","1","0","0","M"
"Equilibrium","2002","","6.9","0","0","1","0","1","0","M"
"American Graffiti","1973","","6.9","0","0","0","1","1","0","M"
"Khumba","2013","http://www.triggerfish.co.za/khumba/","5.8","0","0","1","1","0","0","M"
"Se7en","1995","http://www.sevenmovie.com/","8.1","0","1","1","0","0","0","M"
"Role Models","2008","","6.4","0","0","0","1","0","0","M"
"Dogma","1999","http://www.dogma-movie.com/","6.8","0","0","1","1","1","0","M"
"Meek's Cutoff","2010","http://meekscutoff.com/","6.5","0","0","1","0","1","0","M"
"X2","2003","","6.8","0","0","1","0","1","0","M"
"Gremlins 2: The New Batch","1990","","6.2","0","1","0","1","1","0","M"
"Roadside","2013","","4.2","0","1","0","0","1","0","M"
"Family Plot","1976","","6.7","0","1","1","1","0","0","M"
"The Station Agent","2003","","7.4","0","0","0","1","1","0","M"
"Over Her Dead Body","2008","http://www.overherdeadbodymovie.com","5.3","0","0","0","1","0","0","M"
"The Adventures of Ford Fairlane","1990","","6.2","0","1","1","1","0","0","M"
"Michael Jordan to the Max","2000","","7.5","0","0","0","0","0","1","M"
"Two Weeks Notice","2002","","5.9","1","0","0","1","0","0","M"
"The Sorcerer's Apprentice","2010","http://disney.go.com/disneypictures/sorcerersapprentice/","5.8","0","0","1","1","1","0","M"
"Bizarre","2015","","6.2","1","0","0","0","1","0","M"
"The Holy Girl","2004","","6.8","0","0","0","0","1","0","M"
"Being John Malkovich","1999","","7.3","0","0","0","1","1","0","M"
"The Usual Suspects","1995","http://www.mgm.com/#/our-titles/2083/The-Usual-Suspects","8.1","0","1","1","0","1","0","M"
"Malevolence","2004","http://www.malevolencemovie.com/","4.9","0","1","1","0","0","0","M"
"Purple Violets","2007","","5.7","1","0","0","1","1","0","M"
"Blood and Wine","1996","","5.5","0","1","1","0","1","0","M"
"The Pink Panther","2006","","5.6","0","1","1","1","0","0","M"
"The Sentinel","2006","","5.8","0","1","1","0","0","0","M"
"Star Trek: Generations","1994","","6.4","0","0","1","0","1","0","M"
"Insidious: Chapter 2","2013","http://www.insidiousch2.com/","6.5","0","1","1","0","0","0","M"
"The Quiet American","2002","","6.4","1","0","1","0","1","0","M"
"Akeelah and the Bee","2006","http://www.akeelahandthebee.com/splash.html","6.7","0","0","0","0","1","0","M"
"Pale Rider","1985","","7","1","0","1","0","0","0","M"
"Ironclad","2011","","6.2","1","0","1","0","0","1","M"
"A Walk on the Moon","1999","","6.2","1","0","0","0","1","0","M"
"The Homesman","2014","","6.4","0","0","1","0","1","0","M"
"Takers","2010","http://www.whoarethetakers.com/","6","0","1","1","0","1","0","M"
"Contraband","2012","http://www.contrabandmovie.net","6.1","0","1","1","0","1","0","M"
"Dil Jo Bhi Kahey...","2006","","0","1","0","0","0","0","0","M"
"The Adventures of Rocky & Bullwinkle","2000","","3.9","0","0","1","1","0","0","M"
"The Wash","2001","","5.3","0","0","1","1","0","0","M"
"Just Looking","1999","","5.8","0","0","0","1","1","0","M"
"Jaws: The Revenge","1987","","3.5","0","0","1","0","0","0","M"
"Secret Window","2004","","6.4","0","1","1","0","0","0","M"
"The Charge of the Light Brigade","2036","","6.8","0","0","1","0","1","1","M"
"Fat, Sick & Nearly Dead","2010","http://www.fatsickandnearlydead.com","7.1","0","0","0","0","0","1","M"
"Last Action Hero","1993","","6.1","0","0","1","1","1","0","M"
"Hard Rain","1998","","5.5","0","0","1","0","0","0","M"
"Backmask","2015","","4.7","0","1","1","0","0","0","M"
"Crank","2006","","6.6","0","1","1","0","0","0","M"
"Time to Choose","2015","http://www.timetochoose.com","0","0","0","0","0","0","1","M"
"Hidden Away","2014","","7.6","1","0","0","0","1","0","M"
"Moms' Night Out","2014","http://www.momsnightoutmovie.com/","5.5","0","0","0","1","0","0","M"
"DragonHeart","1996","","6.4","0","0","0","0","1","0","M"
"The Last Stand","2013","http://www.thelaststandfilm.com","5.7","0","1","1","0","0","0","M"
"Dead Poets Society","1989","","8.1","0","0","0","0","1","0","M"
"The Kingdom","2007","http://www.thekingdommovie.com/","6.5","0","0","1","0","1","0","M"
"Catwoman","2004","","4.2","0","1","1","0","0","0","M"
"The Nutcracker","1993","","5.6","0","0","0","0","1","1","M"
"Holes","2003","","6.7","0","0","1","1","1","0","M"
"Joyeux No??????????????????l","2005","","7.2","1","0","0","0","1","1","M"
"Home Fries","1998","","4.8","1","0","0","1","1","0","M"
"The I Inside","2004","","5.9","0","1","1","0","1","0","M"
"Life as a House","2001","","7.2","0","0","0","0","1","0","M"
"Space Chimps","2008","http://www.spacechimpspower.com/","5.2","0","0","0","1","0","0","M"
"30 Days of Night","2007","http://www.30daysofnight.com/","6.2","0","1","1","0","0","0","M"
"The Day the Earth Stood Still","2008","","5.2","0","0","1","0","1","0","M"
"Two Can Play That Game","2001","","6.6","1","0","0","1","0","0","M"
"Below Zero","2011","","4.4","0","1","1","0","0","0","M"
"Snow White: A Tale of Terror","1997","","6","0","1","0","0","1","0","M"
"Marvin's Room","1996","","6.6","0","0","0","0","1","0","M"
"The Big Wedding","2013","","5.7","0","0","0","1","0","0","M"
"The Grandmaster","2013","","6.3","0","0","1","0","1","1","M"
"The Bounty Hunter","2010","http://www.thebountyhunter-movie.net/","5.5","0","0","1","0","0","0","M"
"The Lake House","2006","http://wwws.warnerbros.de/thelakehouse/","6.5","1","1","0","0","1","0","M"
"Eden","2015","","5.6","0","0","1","0","1","0","M"
"Imaginary Heroes","2004","http://www.sonypictures.com/classics/imaginary/site.html","6.3","0","0","0","1","1","0","M"
"The Apartment","2060","","8.1","1","0","0","1","1","0","M"
"Hit & Run","2012","http://www.hitandrunmovie.com/","5.5","1","0","1","1","0","0","M"
"The Blood of Heroes","1989","","5.9","0","0","1","0","1","0","M"
"Godsend","2004","","4.7","0","1","1","0","1","0","M"
"The Good Dinosaur","2015","http://movies.disney.com/the-good-dinosaur","6.6","0","0","1","1","0","0","M"
"The Next Best Thing","2000","","4.3","0","0","0","1","0","0","M"
"Shalako","1968","","5.4","0","0","1","0","0","0","M"
"After the Sunset","2004","http://www.afterthesunset.com/","6","0","1","1","1","1","0","M"
"Donnie Darko","2001","","7.7","0","1","0","0","1","0","M"
"The Sisterhood of the Traveling Pants 2","2008","","6","0","0","1","1","1","0","M"
"Saw II","2005","","6.3","0","1","0","0","0","0","M"
"My Last Day Without You","2011","","5.7","1","0","0","1","1","0","M"
"Planet 51","2009","http://www.sonypictures.com/movies/planet51/","5.6","0","0","1","1","1","0","M"
"Automata","2014","http://www.automata-movie.com/","5.6","0","0","1","0","1","0","M"
"Sunshine Cleaning","2008","http://www.sunshinecleaning-themovie.com","6.5","0","0","0","1","1","0","M"
"Echo Dr.","2013","","5","0","0","1","0","1","0","M"
"The Marine 4: Moving Target","2015","","5.8","0","0","1","0","0","0","M"
"The Banger Sisters","2002","","5.5","0","0","0","1","1","0","M"
"Graduation Day","1981","","5","0","1","0","0","0","0","M"
"Scary Movie 2","2001","","5.4","0","0","0","1","0","0","M"
"Beneath Hill 60","2010","http://www.beneathhill60.com.au/index.htm","7.3","0","0","0","0","1","1","M"
"Def Jam's How to Be a Player","1997","","5.3","1","0","0","1","0","0","M"
"Casino Jack","2010","http://www.casinojack-movie.com/","6","0","1","0","1","1","0","M"
"A Nightmare on Elm Street 5: The Dream Child","1989","","5.5","0","1","1","0","0","0","M"
"The Last Song","2010","","6.9","1","0","0","0","1","0","M"
"Here On Earth","2000","","5.4","1","0","0","0","0","0","M"
"Super Hybrid","2010","","4.6","0","1","0","0","0","0","M"
"The Puffy Chair","2005","http://www.thepuffychairmovie.com","6.2","1","0","0","1","1","0","M"
"Stargate: The Ark of Truth","2008","","6.9","0","0","1","0","1","0","M"
"The Divide","2011","","5.7","0","0","0","0","1","0","M"
"The Veil","2016","http://www.blumhouse.com/tag/the-veil/","4.5","0","1","0","0","0","0","M"
"The Weather Man","2005","","6","0","0","0","1","1","0","M"
"Snatch","2000","","7.7","0","1","1","0","0","0","M"
"Antz","1998","","6","0","0","1","1","0","0","M"
"Kansas City","1996","","6.1","0","1","1","0","1","1","M"
"The Wedding Date","2005","https://www.uphe.com/movies/the-wedding-date","6.2","1","0","0","1","0","0","M"
"Men of War","1994","","5.4","0","0","1","0","0","0","M"
"Two Girls and a Guy","1997","","5.4","1","0","0","0","1","0","M"
"Juwanna Mann","2002","http://www.juwannamann.com/","4.2","0","0","0","1","1","0","M"
"Seeking a Friend for the End of the World","2012","","6.3","1","0","0","1","1","0","M"
"Dumb and Dumber","1994","","6.5","0","0","0","1","0","0","M"
"Inside Deep Throat","2005","","6.8","0","0","0","0","0","1","M"
"Street Fighter","1994","","4.1","0","0","1","0","0","0","M"
"Devil's Due","2014","","4.4","0","1","0","0","0","0","M"
"????????????????????????on Flux","2005","","5.4","0","0","1","0","1","0","M"
"Romance & Cigarettes","2005","","6","1","0","0","1","0","1","M"
"Fascination","2004","","3.8","1","0","1","0","0","0","M"
"Rise of the Guardians","2012","http://www.riseoftheguardians.com/","7.1","0","0","0","1","1","0","M"
"Iraq for Sale: The War Profiteers","2006","http://iraqforsale.org/","8","0","0","0","0","0","1","M"
"3 Strikes","2000","","5.9","1","0","1","1","0","0","M"
"To Save A Life","2009","http://tosavealifemovie.com/","6.2","0","0","0","0","1","0","M"
"Catch a Fire","2006","","6.4","0","0","1","0","1","0","M"
"A Haunted House","2013","https://www.facebook.com/AHauntedHouse?fref=ts","5.4","0","1","0","1","0","0","M"
"Memoirs of a Geisha","2005","http://www.sonypictures.com/homevideo/memoirsofageisha/index.html","7.3","1","0","0","0","1","1","M"
"Get Carter","2000","","4.8","0","1","1","0","1","0","M"
"The Smurfs","2011","http://www.smurfhappens.com/","5.5","0","0","1","1","1","0","M"
"As Good as It Gets","1997","","7.2","1","0","0","1","0","0","M"
"Osmosis Jones","2001","http://www.osmosisjones.com/","5.9","0","0","1","1","0","0","M"
"Money Talks","1997","","5.9","0","0","1","1","0","0","M"
"Waterloo","1970","","7","0","0","1","0","1","1","M"
"Half Baked","1998","","6.4","0","1","0","1","0","0","M"
"Street Kings","2008","","6.3","0","1","1","0","1","0","M"
"Poseidon","2006","http://www2.warnerbros.com/poseidon/","5.5","0","0","1","0","1","0","M"
"The Children of Huang Shi","2008","http://www.childrenofhuangshi.com/","6.5","0","0","0","0","1","1","M"
"My Fair Lady","2064","","7.4","1","0","0","0","1","1","M"
"Blade: Trinity","2004","http://www.warnerbros.com/blade-trinity","5.7","0","1","1","0","1","0","M"
"Napoleon Dynamite","2004","","6.7","0","0","0","1","0","0","M"
"In the Name of the King III","2013","","3.3","0","0","1","0","1","0","M"
"Mississippi Mermaid","1969","","6.7","1","1","0","0","1","0","M"
"The Boat That Rocked","2009","http://www.theboatthatrocked.net/","7.2","0","0","0","1","1","0","M"
"Star Trek: Nemesis","2002","","6.1","0","0","1","0","1","0","M"
"Brazil","1985","","7.5","0","0","0","1","1","0","M"
"Dinner Rush","2000","","7.1","0","0","1","0","1","0","M"
"Mad Money","2008","","5.9","0","1","1","1","0","0","M"
"Head of State","2003","","5.3","0","0","0","1","0","0","M"
"The Muppets","2011","http://disney.go.com/muppets/","6.5","0","0","0","1","0","1","M"
"Big Mommas: Like Father, Like Son","2011","http://www.bigmommaslikefatherlikeson.com/","5.3","0","1","1","1","0","0","M"
"Some Guy Who Kills People","2011","http://someguywhokillspeople.com/","5.7","0","1","1","1","0","0","M"
"Legends of Oz: Dorothy's Return","2013","http://www.dorothyofozthemovie.com/","5.9","0","0","0","1","0","1","M"
"Water for Elephants","2011","http://waterforelephantsfilm.com/","6.7","1","0","0","0","1","0","M"
"Taking Woodstock","2009","http://www.takingwoodstockthemovie.co.uk/","6.2","0","0","0","1","1","1","M"
"The Night Visitor","1971","","7.3","0","1","0","0","0","0","M"
"The Impossible","2012","","7","0","0","1","0","1","0","M"
"The Eclipse","2009","http://www.theeclipsefilm.com/","6.1","1","1","0","0","1","0","M"
"Jason Goes to Hell: The Final Friday","1993","","4.2","0","1","1","0","1","0","M"
"Gods and Generals","2003","","6.1","0","0","0","0","1","1","M"
"Incident at Loch Ness","2004","","5.9","0","1","1","1","0","0","M"
"2016: Obama's America","2012","http://2016themovie.com/","4.6","0","0","0","0","0","1","M"
"Red Dog","2011","http://www.reddogmovie.com/","7.1","0","0","0","1","1","0","M"
"Undisputed","2002","","6.1","0","0","1","0","1","0","M"
"Dungeons & Dragons: Wrath of the Dragon God","2005","","4.8","0","0","1","0","1","0","M"
"Home on the Range","2004","http://movies.disney.com/home-on-the-range","5.7","0","0","0","1","0","0","M"
"When Harry Met Sally...","1989","","7.3","1","0","0","1","1","0","M"
"Saving Private Perez","2011","http://www.privateperez.com/","6.1","0","0","1","1","0","0","M"
"Fun with Dick and Jane","2005","http://www.sonypictures.com/movies/funwithdickandjane/","5.9","0","0","0","1","0","0","M"
"Joyful Noise","2012","http://www.joyfulnoisethemovie.com","6.7","0","0","0","1","0","1","M"
"Cedar Rapids","2011","http://www.foxsearchlight.com/cedarrapids/","5.9","0","0","0","1","0","0","M"
"The Loved Ones","2009","http://www.thelovedonesmovie.com/","6.6","0","1","0","0","0","0","M"
"I Love Your Work","2003","","6.5","0","1","0","0","1","0","M"
"Sleepers","1996","","7.3","0","1","1","0","1","0","M"
"I Love You, Beth Cooper","2009","http://www.iloveyoubethcoopermovie.com/","5.1","1","0","0","1","0","0","M"
"Chicken Tikka Masala","2005","","3.5","1","0","0","1","0","0","M"
"The SpongeBob SquarePants Movie","2004","","6.7","0","0","0","1","0","0","M"
"Area 51","2015","","4.2","0","1","1","0","1","0","M"
"National Lampoon??????????????????????????????????????s Van Wilder","2002","","5.9","1","0","0","1","0","0","M"
"The League of Extraordinary Gentlemen","2003","","5.7","0","0","1","0","1","0","M"
"Chasing Liberty","2004","","6.1","1","0","0","1","0","0","M"
"Polisse","2011","http://www.polisse-lefilm.com/","7.9","0","0","0","0","1","0","M"
"The Curse of the Jade Scorpion","2001","","6.5","1","1","1","1","0","0","M"
"Earth to Echo","2014","","5.7","0","0","1","0","1","0","M"
"Airborne","1993","","6.1","0","0","1","1","0","0","M"
"Stories of Our Lives","2014","","0","0","0","0","0","1","0","M"
"Flirting with Disaster","1996","","6.3","1","0","0","1","0","0","M"
"Baghead","2008","","5.8","0","1","0","1","1","0","M"
"Soul Survivors","2001","","4.4","0","1","1","0","0","0","M"
"Spy Kids 3-D: Game Over","2003","","4.7","0","0","1","1","1","0","M"
"The Longshots","2008","","6.5","0","0","0","0","1","0","M"
"Dazed and Confused","1993","","7.4","0","0","0","1","1","0","M"
"The Pianist","2002","http://www.thepianistmovie.com/","8","0","0","0","0","1","1","M"
"Treasure Planet","2002","","7.2","0","0","1","1","1","0","M"
"Dancin' It's On","2015","https://www.facebook.com/eastsidestorymovie","4.3","1","0","0","0","1","0","M"
"Dr. Dolittle 2","2001","","4.9","1","0","0","1","1","0","M"
