"title","year","popularity","comedy","fantasy","romance","horror","action","non-fiction","type"
"Birdman or (The Unexpected Virtue of Ignorance)","2014","7.8","1","1","1","0","0","0","M"
"Chef","2014","7.3","1","1","0","0","0","0","M"
"Koe no katachi","2016","8.4","1","1","1","0","0","0","M"
"The Belko Experiment","2016","6.3","0","0","0","1","1","0","M"
"The First Time","2012","6.9","1","1","1","0","0","0","M"
"La tortue rouge","2016","7.6","1","1","0","0","0","0","M"
"I Am the Pretty Thing That Lives in the House","2016","4.7","0","0","0","0","1","0","M"
"Mine","2016","6","0","0","0","0","1","1","M"
"Into the Forest","2015","5.9","0","1","0","0","1","0","M"
"Fantastic Beasts and Where to Find Them","2016","7.5","0","1","0","0","1","0","M"
"Gone Baby Gone","2007","7.7","0","1","0","1","0","0","M"
"Free Fire","2016","7","1","0","0","1","1","0","M"
"Toni Erdmann","2016","7.6","1","1","0","0","0","0","M"
"The Autopsy of Jane Doe","2016","6.8","0","0","0","1","1","0","M"
"La vie d'AdÃƒÂ¨le","2013","7.8","0","1","1","0","0","0","M"
"Hidden Figures","2016","7.8","0","1","0","0","0","1","M"
"Eye in the Sky","2015","7.3","0","1","0","0","1","1","M"
"Clown","2014","5.7","0","0","0","1","1","0","M"
"Denial","2016","6.6","0","1","0","0","0","1","M"
"The Babadook","2014","6.8","0","1","0","1","0","0","M"
"The Bad Batch","2016","6.1","0","1","1","0","0","0","M"
"Rogue One","2016","7.9","0","1","0","0","1","0","M"
"Dear White People","2014","6.2","1","1","0","0","0","0","M"
"Coherence","2013","7.2","0","1","0","1","1","0","M"
"Locke","2013","7.1","0","1","0","0","0","0","M"
"Elle","2016","7.2","0","1","0","1","1","0","M"
"Bone Tomahawk","2015","7.1","0","1","0","1","1","0","M"
"L'avenir","2016","7.1","0","1","0","0","0","0","M"
"Custody","2016","6.9","0","1","0","0","0","0","M"
"Moana","2016","7.7","1","0","0","0","1","0","M"
"Jack Reacher: Never Go Back","2016","6.1","0","0","0","1","1","0","M"
"Notorious","2009","6.7","0","1","0","1","0","1","M"
"The Heartbreak Kid","2007","5.8","1","0","1","0","0","0","M"
"Predestination","2014","7.5","0","1","0","1","0","0","M"
"The 9th Life of Louis Drax","2016","6.3","0","0","0","1","1","0","M"
"Nymphomaniac: Vol. I","2013","7","0","1","0","0","0","0","M"
"Old Boy","2013","5.8","0","1","0","1","1","0","M"
"Goksung","2016","7.5","0","1","0","1","0","0","M"
"Mechanic: Resurrection","2016","5.6","0","0","0","1","1","0","M"
"Colossal","2016","6.4","1","1","0","0","1","0","M"
"Horns","2013","6.5","0","1","0","1","0","0","M"
"Harry Potter and the Deathly Hallows: Part 2","2011","8.1","0","1","0","0","1","0","M"
"PK","2014","8.2","1","1","1","0","0","0","M"
"Inland Empire","2006","7","0","1","0","1","1","0","M"
"Bastille Day","2016","6.3","0","1","0","1","1","0","M"
"Entourage","2015","6.6","1","0","0","0","0","0","M"
"Kingsman: The Secret Service","2014","7.7","1","0","0","0","1","0","M"
"Knock Knock","2015","4.9","0","1","0","1","1","0","M"
"L'odyssÃƒÂ©e","2016","6.7","0","0","0","0","1","1","M"
"Office Christmas Party","2016","5.8","1","0","0","0","0","0","M"
"I.T.","2016","5.4","0","1","0","1","0","0","M"
"Hacksaw Ridge","2016","8.2","0","1","0","0","0","1","M"
