"title@sourceA","year@sourceA","popularity@sourceA","comedy@sourceA","fantasy@sourceA","romance@sourceA","horror@sourceA","action@sourceA","non-fiction@sourceA","type@sourceA","title@sourceB","year@sourceB","homepage@sourceB","popularity@sourceB","romance@sourceB","horror@sourceB","action@sourceB","comedy@sourceB","fantasy@sourceB","non-fiction@sourceB","type@sourceB","Confidence"
"The Ugly Truth","2009","6.5","1","0","1","0","0","0","M","The Ugly Truth","2009","http://www.thetruthisntpretty.com/","6.4","1","0","0","1","0","0","M","100"
"The Adjustment Bureau","2011","7.1","0","1","1","0","1","0","M","The Adjustment Bureau","2011","http://www.theadjustmentbureau.com/","6.5","1","0","1","0","1","0","M","100"
"This Is the End","2013","6.6","1","1","0","0","0","0","M","This Is the End","2013","http://www.thisistheend.com/","6.3","0","0","1","1","0","0","M","100"
"The Curious Case of Benjamin Button","2008","7.8","0","1","1","0","0","0","M","The Curious Case of Benjamin Button","2008","http://www.benjaminbutton.com/","7.3","1","1","1","0","1","0","M","100"
"Florence Foster Jenkins","2016","6.9","1","1","0","0","0","1","M","Florence Foster Jenkins","2016","http://www.florencefosterjenkinsmovie.com/","6.6","0","0","0","1","1","0","M","100"
"Prince of Persia: The Sands of Time","2010","6.6","0","1","0","0","1","0","M","Prince of Persia: The Sands of Time","2010","http://disney.go.com/disneypictures/princeofpersia","6.2","1","0","1","0","1","0","M","100"
"The Proposal","2009","6.7","1","1","1","0","0","0","M","The Proposal","2009","http://www.myspace.com/proposalmovie","6.7","1","0","0","1","1","0","M","100"
"The Hunger Games: Mockingjay - Part 1","2014","6.7","0","1","0","0","1","0","M","The Hunger Games: Mockingjay - Part 1","2014","http://www.thehungergames.movie/","6.6","0","0","1","0","1","0","M","100"
"Avatar","2009","7.8","0","1","0","0","1","0","M","Avatar","2009","http://www.avatarmovie.com/","7.2","0","0","1","0","1","0","M","100"
"Divergent","2014","6.7","0","1","0","1","1","0","M","Divergent","2014","http://www.thedivergentseries.movie/#divergent","6.9","0","0","1","0","1","0","M","100"
"Triangle","2009","6.9","0","1","0","1","1","0","M","Triangle","2009","","6.9","0","1","0","0","0","0","M","100"
"Predators","2010","6.4","0","1","0","0","1","0","M","Predators","2010","","6","0","0","1","0","1","0","M","100"
"The Da Vinci Code","2006","6.6","0","0","0","1","1","0","M","The Da Vinci Code","2006","http://www.sonypictures.com/homevideo/thedavincicode/index.html","6.5","0","1","1","0","0","0","M","100"
"Pirates of the Caribbean: At World's End","2007","7.1","0","1","0","0","1","0","M","Pirates of the Caribbean: At World's End","2007","http://disney.go.com/disneypictures/pirates/","6.9","0","0","1","0","1","0","M","100"
"The Mist","2007","7.2","0","0","0","1","0","0","M","The Mist","2007","http://www.themist-movie.com/","6.7","0","1","1","0","1","0","M","100"
"The Departed","2006","8.5","0","1","0","1","1","0","M","The Departed","2006","http://thedeparted.warnerbros.com/","7.9","0","1","1","0","1","0","M","100"
"Take Me Home Tonight","2011","6.3","1","1","1","0","0","0","M","Take Me Home Tonight","2011","http://www.iamrogue.com/takemehometonight/fullsite/","6.2","1","0","0","1","1","0","M","100"
"Mr. Church","2016","7.7","1","1","0","0","0","0","M","Mr. Church","2016","","7","0","0","0","0","1","0","M","100"
