,title,Year,genre,homepage,popularity
0,Avatar,2009,"Action,Adventure,Fantasy,Sci-Fi",http://www.avatarmovie.com/,150.437577
1,Pirates of the Caribbean: At World's End,2007,"Adventure,Fantasy,Action",http://disney.go.com/disneypictures/pirates/,139.082615
2,Spectre,2015,"Action,Adventure,Crime",http://www.sonypictures.com/movies/spectre/,107.376788
3,The Dark Knight Rises,2012,"Action,Crime,Drama,Thriller",http://www.thedarkknightrises.com/,112.31295
4,John Carter,2012,"Action,Adventure,Sci-Fi",http://movies.disney.com/john-carter,43.926995
5,Spider-Man 3,2007,"Fantasy,Action,Adventure",http://www.sonypictures.com/movies/spider-man3/,115.699814
6,Tangled,2010,"Animation,Family",http://disney.go.com/disneypictures/tangled/,48.681969
7,Avengers: Age of Ultron,2015,"Action,Adventure,Sci-Fi",http://marvel.com/movies/movie/193/avengers_age_of_ultron,134.279229
8,Harry Potter and the Half-Blood Prince,2009,"Adventure,Fantasy,Family",http://harrypotter.warnerbros.com/harrypotterandthehalf-bloodprince/dvd/index.html,98.885637
9,Batman v Superman: Dawn of Justice,2016,"Action,Adventure,Fantasy",http://www.batmanvsupermandawnofjustice.com/,155.790452
10,Superman Returns,2006,"Adventure,Fantasy,Action,Sci-Fi",http://www.superman.com,57.925623
11,Quantum of Solace,2008,"Adventure,Action,Thriller,Crime",http://www.mgm.com/view/movie/234/Quantum-of-Solace/,107.928811
12,Pirates of the Caribbean: Dead Man's Chest,2006,"Adventure,Fantasy,Action",http://disney.go.com/disneypictures/pirates/,145.847379
13,The Lone Ranger,2013,"Action,Adventure,Western",http://disney.go.com/the-lone-ranger/,49.046956
14,Man of Steel,2013,"Action,Adventure,Fantasy,Sci-Fi",http://www.manofsteel.com/,99.398009
15,The Chronicles of Narnia: Prince Caspian,2008,"Adventure,Family,Fantasy",,53.978602
16,The Avengers,2012,"Sci-Fi,Action,Adventure",http://marvel.com/avengers_movie/,144.448633
17,Pirates of the Caribbean: On Stranger Tides,2011,"Adventure,Action,Fantasy",http://disney.go.com/pirates/index-on-stranger-tides.html#/video/,135.413856
18,Men in Black 3,2012,"Action,Comedy,Sci-Fi",http://www.sonypictures.com/movies/meninblack3/,52.035179
19,The Hobbit: The Battle of the Five Armies,2014,"Action,Adventure,Fantasy",http://www.thehobbit.com/,120.965743
20,The Amazing Spider-Man,2012,"Action,Adventure,Fantasy",http://www.theamazingspiderman.com,89.866276
21,Robin Hood,2010,"Action,Adventure",http://www.robinhoodthemovie.com/,37.668301
22,The Hobbit: The Desolation of Smaug,2013,"Adventure,Fantasy",http://www.thehobbit.com/,94.370564
23,The Golden Compass,2007,"Adventure,Fantasy",http://www.goldencompassmovie.com/index_german.html,42.990906
24,King Kong,2005,"Adventure,Drama,Action",,61.22601
25,Titanic,1997,"Drama,Romance,Thriller",http://www.titanicmovie.com,100.025899
26,Captain America: Civil War,2016,"Adventure,Action,Sci-Fi",http://marvel.com/captainamericapremiere,198.372395
27,Battleship,2012,"Thriller,Action,Adventure,Sci-Fi",,64.928382
28,Jurassic World,2015,"Action,Adventure,Sci-Fi,Thriller",http://www.jurassicworld.com/,418.708552
29,Skyfall,2012,"Action,Adventure,Thriller",http://www.skyfall-movie.com,93.004993
30,Spider-Man 2,2004,"Action,Adventure,Fantasy",http://www.sonypictures.com/movies/spider-man2/,35.149586
31,Iron Man 3,2013,"Action,Adventure,Sci-Fi",http://marvel.com/ironman3,77.68208
32,Alice in Wonderland,2010,"Family,Fantasy,Adventure",http://disney.go.com/wonderland/,78.530105
33,X-Men: The Last Stand,2006,"Adventure,Action,Sci-Fi,Thriller",,3.857526
34,Monsters University,2013,"Animation,Family",,89.186492
35,Transformers: Revenge of the Fallen,2009,"Sci-Fi,Action,Adventure",http://www.transformersmovie.com/,21.939663
36,Transformers: Age of Extinction,2014,"Sci-Fi,Action,Adventure",http://www.transformersmovie.com,116.840296
37,Oz: The Great and Powerful,2013,"Fantasy,Adventure,Family",http://www.ozthegreatandpowerfulmovie.com,46.985445
38,The Amazing Spider-Man 2,2014,"Action,Adventure,Fantasy",http://www.theamazingspiderman.com,89.270217
39,TRON: Legacy,2010,"Adventure,Action,Sci-Fi",http://disney.go.com/tron/,73.79505
40,Cars 2,2011,"Animation,Family,Adventure,Comedy",http://www.disney.go.com/cars/,49.98659
41,Green Lantern,2011,"Adventure,Action,Thriller,Sci-Fi",http://greenlanternmovie.warnerbros.com/,51.872839
42,Toy Story 3,2010,"Animation,Family,Comedy",http://disney.go.com/toystory/,59.995418
43,Terminator Salvation,2009,"Action,Sci-Fi,Thriller",https://www.warnerbros.com/terminator-salvation,71.862892
44,Furious 7,2015,Action,http://www.furious7.com/,102.322217
45,World War Z,2013,"Action,Drama,Horror,Sci-Fi,Thriller",http://www.worldwarzmovie.com,81.834855
46,X-Men: Days of Future Past,2014,"Action,Adventure,Fantasy,Sci-Fi",http://www.x-menmovies.com/,118.078691
47,Star Trek Into Darkness,2013,"Action,Adventure,Sci-Fi",,78.291018
48,Jack the Giant Slayer,2013,"Action,Family,Fantasy",http://jackthegiantkiller.warnerbros.com,43.349855
49,The Great Gatsby,2013,"Drama,Romance",,61.196071
